poly_id,POLY,JAE_COURSE_CODE,COURSE_TITLE,JAE_COURSE_CLUSTER,JAE_ELR2B2,COURSE_URL,school_id
1,Nanyang Polytechnic,C39,Aerospace / Electrical / Electronics Programme,ENGINEERING,22,http://www.nyp.edu.sg/seg/full-time-courses/aerospace-electrical-electronics-programme-c39,381
2,Republic Polytechnic,R56,Engineering Design with Business,ENGINEERING,23,http://www.rp.edu.sg/02_School_of_Engineering/School_of_Engineering.aspx,380
3,Singapore Polytechnic,S64,Applied Chemistry,APPLIED SCIENCES,10,http://www.sp.edu.sg/wps/portal/vp-spws/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOJDPUxdjdxMTQz8XQNdDTwNg8xd_N1dDVydDfQLsh0VAWb2orM!/?WCM_GLOBAL_CONTEXT=,379
4,Ngee Ann Polytechnic,N40,Hotel & Leisure Facilities Management,BUILT ENVIRONMENT,13,http://www.np.edu.sg/de/courses/hlfm/Pages/hlfm.aspx,382
5,Ngee Ann Polytechnic,N41,Mechanical Engineering,ENGINEERING,19,http://www.np.edu.sg/soe/courses/me/Pages/me.aspx,382
6,Ngee Ann Polytechnic,N42,Marine & Offshore Technology,MARITIME STUDIES,18,http://www.np.edu.sg/soe/courses/mot/Pages/mot.aspx,382
7,Ngee Ann Polytechnic,N43,Electrical Engineering,ENGINEERING,22,http://www.np.edu.sg/soe/courses/ee/Pages/ee.aspx,382
8,Ngee Ann Polytechnic,N44,Electronic & Computer Engineering,ENGINEERING,21,http://www.np.edu.sg/soe/courses/ece/Pages/ece.aspx,382
9,Ngee Ann Polytechnic,N45,Business Studies,BUSINESS & MANAGEMENT,10,http://www.np.edu.sg/ba/courses/bs/Pages/bs.aspx,382
10,Ngee Ann Polytechnic,N48,Real Estate Business,BUILT ENVIRONMENT,16,http://www.np.edu.sg/DE/COURSES/REB/Pages/reb.aspx,382
11,Ngee Ann Polytechnic,N49,Molecular Biotechnology,APPLIED SCIENCES,9,http://www.np.edu.sg/lsct/courses/mbio/Pages/default.aspx,382
12,Ngee Ann Polytechnic,N50,Automation & Mechatronic Systems,ENGINEERING,20,http://www.np.edu.sg/soe/courses/ams/Pages/ams.aspx,382
13,Ngee Ann Polytechnic,N51,Accountancy,BUSINESS & MANAGEMENT,11,http://www.np.edu.sg/ba/courses/acc/Pages/acc.aspx,382
14,Ngee Ann Polytechnic,N53,Banking & Financial Services,BUSINESS & MANAGEMENT,10,http://www.np.edu.sg/ba/courses/bfs/Pages/bfs.aspx,382
15,Ngee Ann Polytechnic,N54,Information Technology,INFORMATION & DIGITAL TECHNOLOGIES,15,http://www.np.edu.sg/ict/courses/fulltime/it/Pages/it.aspx,382
16,Ngee Ann Polytechnic,N55,Multimedia & Animation,INFORMATION & DIGITAL TECHNOLOGIES,15,http://www.np.edu.sg/ict/courses/fulltime/mma/Pages/mma.aspx,382
17,Ngee Ann Polytechnic,N56,Chemical & Biomolecular Engineering,APPLIED SCIENCES,13,http://www.np.edu.sg/lsct/courses/cbe/Pages/default.aspx,382
18,Ngee Ann Polytechnic,N57,Landscape Design & Horticulture,APPLIED SCIENCES,18,http://www.np.edu.sg/lsct/courses/ldh/Pages/default.aspx,382
19,Ngee Ann Polytechnic,N59,Biomedical Science,APPLIED SCIENCES,8,http://www.np.edu.sg/lsct/courses/bms/Pages/home.aspx,382
20,Ngee Ann Polytechnic,N60,Biomedical Engineering,ENGINEERING,14,http://www.np.edu.sg/soe/courses/bme/Pages/bme.aspx,382
21,Ngee Ann Polytechnic,N64,Network Systems & Security,INFORMATION & DIGITAL TECHNOLOGIES,13,http://www.np.edu.sg/soe/courses/nss/Pages/nss.aspx,382
22,Ngee Ann Polytechnic,N65,Aerospace Technology,ENGINEERING,13,http://www.np.edu.sg/soe/courses/at/Pages/at.aspx,382
23,Ngee Ann Polytechnic,N66,Early Childhood Education,HUMANITIES,16,http://www.np.edu.sg/hms/courses/ECH/Pages/ech.aspx,382
24,Ngee Ann Polytechnic,N67,Mass Communication,MEDIA & DESIGN,10,http://www.np.edu.sg/fms/courses/diploma/Pages/mcm.aspx,382
25,Ngee Ann Polytechnic,N68,Product Design & Innovation,MEDIA & DESIGN,18,http://www.np.edu.sg/de/courses/pdi/Pages/pdi.aspx,382
26,Ngee Ann Polytechnic,N69,Health Sciences (Nursing),HEALTH SCIENCES,26,http://www.np.edu.sg/hs/courses/hsn/Pages/HSN.aspx,382
27,Ngee Ann Polytechnic,N70,Chinese Studies,HUMANITIES,16,http://www.np.edu.sg/hms/courses/CHS/Pages/chs_en.aspx,382
28,Ngee Ann Polytechnic,N71,Engineering with Business Management Programme,ENGINEERING,16,http://www.np.edu.sg/soe/courses/ebm/Pages/ebm.aspx,382
29,Ngee Ann Polytechnic,N72,Tourism & Resort Management,BUSINESS & MANAGEMENT,10,http://www.np.edu.sg/ba/courses/trm/Pages/trm.aspx,382
30,Ngee Ann Polytechnic,N73,Pharmacy Science,APPLIED SCIENCES,9,http://www.np.edu.sg/lsct/courses/pharm/Pages/default.aspx,382
31,Ngee Ann Polytechnic,N74,Environmental & Water Technology,APPLIED SCIENCES,15,http://www.np.edu.sg/lsct/courses/ewt/Pages/ewt.aspx,382
32,Ngee Ann Polytechnic,N75,Aerospace Electronics,ENGINEERING,15,http://www.np.edu.sg/soe/courses/ae/Pages/ae.aspx,382
33,Ngee Ann Polytechnic,N76,Audio-visual Technology,ENGINEERING,15,http://www.np.edu.sg/soe/courses/avt/Pages/avt.aspx,382
34,Ngee Ann Polytechnic,N77,Psychology Studies,HUMANITIES,8,http://www.np.edu.sg/hms/courses/PCS/Pages/pcs.aspx,382
35,Ngee Ann Polytechnic,N78,Visual Effects,MEDIA & DESIGN,16,http://www.np.edu.sg/fms/courses/diploma/pages/vfx.aspx,382
36,Ngee Ann Polytechnic,N79,Business & Social Enterprise,BUSINESS & MANAGEMENT,11,http://www.np.edu.sg/hms/courses/bzse/Pages/bzse.aspx,382
37,Ngee Ann Polytechnic,N80,International Logistics & Supply Chain Management,BUSINESS & MANAGEMENT,15,http://www.np.edu.sg/ba/courses/ilscm/Pages/ilscm.aspx,382
38,Ngee Ann Polytechnic,N81,Financial Informatics,INFORMATION & DIGITAL TECHNOLOGIES,14,http://www.np.edu.sg/ict/courses/fulltime/fi/Pages/fi.aspx,382
39,Ngee Ann Polytechnic,N82,"Film, Sound & Video",MEDIA & DESIGN,12,http://www.np.edu.sg/fms/courses/diploma/Pages/fsv.aspx,382
40,Ngee Ann Polytechnic,N83,Optometry,HEALTH SCIENCES,13,http://www.np.edu.sg/hs/courses/opt/Pages/default.aspx,382
41,Ngee Ann Polytechnic,N84,Clean Energy Management,ENGINEERING,18,http://www.np.edu.sg/soe/courses/cem/Pages/cem.aspx,382
42,Ngee Ann Polytechnic,N85,International Business,BUSINESS & MANAGEMENT,6,http://www.np.edu.sg/ba/courses/ibz/Pages/ibz.aspx,382
43,Ngee Ann Polytechnic,N86,Child Psychology & Early Education,HUMANITIES,13,http://www.np.edu.sg/hms/courses/cpee/Pages/default.aspx,382
44,Ngee Ann Polytechnic,N87,Advertising & Public Relations,MEDIA & DESIGN,13,http://www.np.edu.sg/fms/courses/diploma/Pages/apr.aspx,382
45,Ngee Ann Polytechnic,N88,Chinese Media & Communication,MEDIA & DESIGN,16,http://www.np.edu.sg/hms/courses/cmc/Pages/cmc_en.aspx,382
46,Ngee Ann Polytechnic,N89,Sustainable Urban Design & Engineering,BUILT ENVIRONMENT,13,http://www.np.edu.sg/DE/COURSES/SDE/Pages/sde.aspx,382
47,Ngee Ann Polytechnic,N90,Veterinary Bioscience,APPLIED SCIENCES,9,http://www.np.edu.sg/lsct/courses/vbs/Pages/default.aspx,382
48,Ngee Ann Polytechnic,N91,Arts Business Management,BUSINESS & MANAGEMENT,10,http://www.np.edu.sg/hms/courses/abm/Pages/abm.aspx,382
49,Ngee Ann Polytechnic,N92,Animation & 3D Arts,MEDIA & DESIGN,12,http://www.np.edu.sg/ict/courses/fulltime/a3da/Pages/a3da.aspx,382
50,Ngee Ann Polytechnic,N93,Engineering Science,ENGINEERING,9,http://www.np.edu.sg/soe/courses/es/Pages/es.aspx,382
